stop_name	stop_lat	stop_lon
Bukowina-skrzy.	51.2045928000	17.1536755700
Kmieca	51.1052327000	17.1457403400
DWORZECNADODRZE	51.1243901500	17.0333860400
Kadłubka	51.0764765300	16.9686605800
Borowska(Szpital)	51.0747253300	17.0325481300
JERZMANOWO(CmentarzII)	51.1231926300	16.8827889600
Kętrzyńska	51.1309653600	17.0740608700
Starodębowa	51.1673054900	17.1059007000
ParkStabłowicki	51.1601889800	16.8937057100
Kołobrzeska	51.1211968500	16.9449610800
Końcowa	51.0959813500	16.9621510700
ParkBrochowski	51.0632764400	17.0748639300
Kamiennogórska(Ośrodekdlaniewidomych)	51.1425993300	16.8997371700
Mielecka	51.0896265800	17.0004196200
Domaszczyn-Trzebnicka	51.1960955600	17.1518290400
MostyWarszawskie	51.1284732000	17.0545791400
Kominiarska(placsportowy)	51.1755878100	17.0124025000
AlejaPracy	51.0918696000	16.9853733400
Wejherowska	51.1291718500	16.9853284800
KOZANÓW	51.1374778700	16.9687557600
HalaOrbita	51.1322068200	16.9897592300
Tunelowa	51.0648777300	17.0654839500
Tczewska	51.1306065700	17.1119496900
Piramowicza	51.1030638600	17.0957370100
Grunwaldzka	51.1150209000	17.0677333000
Mielecka	51.0897803900	17.0001582400
DHAstra	51.1279632400	16.9762310900
GóraKapliczna	51.1512761800	16.9929207400
NaNiskichŁąkach	51.0962539600	17.0565709000
Krępicka	51.1513831800	16.8561835800
KAMIEŃSKIEGO(pętla)	51.1507006200	17.0432173400
ŻernikiWr.-Orla	51.0361969900	17.0587710300
Dyrekcyjna	51.0943013600	17.0322290900
Wołowska	51.1473691300	17.0302713100
Racławicka(szkoła)	51.0846813500	17.0069504700
Obornicka(Obwodnica)	51.1574756400	17.0094034200
Stalowa	51.0995606500	17.0006904600
Inżynierska	51.0945401200	16.9919639100
WilczyceWilczyckaStaryMłyn	51.1226440600	17.1552602100
RODMieczyk	51.0641251200	17.0692762000
DWORZECGŁÓWNY	51.0996885800	17.0354868800
Jędrzejowska	51.1581384600	16.9175631500
NOWYDWÓR(pętla)	51.1194313300	16.9520998800
Świętokrzyska	51.1172973300	17.0441863200
StadionWrocław(Lotnicza)	51.1381089700	16.9426408300
EPI	51.0981847300	17.0304730000
Karłowicza	51.1170463300	17.0864598400
Spółdzielcza	51.1026601700	17.1024250500
Metalowców	51.1324312000	16.9577751900
Zakrzowska	51.1516515900	17.1156409200
mostOsobowicki	51.1331639300	17.0263515200
BiałychGoździków	51.1568032100	17.1009474200
FAT	51.0941263200	16.9783528000
Gazowa	51.0782827300	17.0688517100
HALLERA	51.0871386900	17.0124994200
PETRUSEWICZA	51.0920840000	17.0318030000
POPOWICE(Stacjakolejowa)	51.1260957700	17.0035840400
ZĘBICE-pętla	51.0051540000	17.1536210000
BiałychGoździków	51.1569269900	17.0993175900
Zakładowa	51.1299880000	17.0387430000
LasOsobowicki	51.1478158900	16.9842128500
Rakowiecka	51.0972313700	17.0682385200
Bałtycka	51.1370151400	17.0298151300
pl.Legionów	51.1039349100	17.0224073500
pl.Zgody	51.0998938400	17.0544041000
Prusa	51.1198623800	17.0562503600
Grudziądzka	51.1379492700	17.0750620300
SIECHNICE-OSIEDLE	51.0262100000	17.1546500000
UrządWojewódzki	51.1099125400	17.0476905200
Krępicka-szkoła	51.1501949100	16.8600396000
Warmińska	51.1467358500	16.9383662400
NaSzańcach	51.1188242300	17.0420423700
Pawłowicka	51.1683533300	17.1126890200
Siedlec-skrzy.Osiedlowa	51.2339325800	17.1215219600
Gęsia	51.1318919400	17.0877611700
Borowska	51.0893095800	17.0338960000
BrzeziaŁąka-skrzy.Główna	51.1231959600	17.2632370800
Graniczna(Strachowicka)	51.1108012000	16.8985760300
DWORCOWA	51.1002777300	17.0392014900
TRZMIELOWICKA(Stacjakolejowa)	51.1427507300	16.8625212500
PsiePole(RondoLotnikówPolskich)	51.1471400000	17.1143630000
KIEŁCZOWSKA(LZN)	51.1465803400	17.1247318700
Marcepanowa	51.0617578900	16.9758113000
MonteCassino	51.1056956200	17.1050499900
Komandorska	51.0923578800	17.0233312900
Śrubowa	51.1123145200	17.0010884800
Kamienna	51.0859398000	17.0465032900
PL.GRUNWALDZKI	51.1116227600	17.0599651200
Długołęka-Kościół	51.1730691900	17.1924734100
TARNOGAJ	51.0785056000	17.0639519700
Hutmen	51.0961267200	16.9859878700
KRZYKI	51.0748836600	17.0065686100
RODTysiąclecia	51.1113787900	16.9525599400
Durok-skrzy.	51.0142780000	17.1976760000
PRACZEODRZAŃSKIE(Stacjakolejowa)	51.1713957000	16.9024931000
JARNOŁTÓW	51.1214176400	16.8439344000
Jordanowska	51.0787080000	16.9577690000
Śliczna	51.0857054600	17.0353824900
Szczodre-pętla	51.1944852600	17.1827382100
KROMERA	51.1320221100	17.0656813700
Adamczewskich	51.1209533900	16.8695615700
Niedziałkowskiego	51.1095289200	17.1384195100
GALERIADOMINIKAŃSKA	51.1089157400	17.0399095500
Metalowców	51.1327735200	16.9574495900
GRABISZYŃSKA(Cmentarz)	51.0896217000	16.9766622100
ZABRODZIE	51.0569300000	16.9465210000
Północna	51.1570317500	16.9344602800
Fiołkowa	51.0930791900	16.9782840400
Krępicka	51.1505124500	16.8552577400
BiskupicePodgórneLGInnotek	51.0181660000	16.8888120000
Radwanice-Skrajna	51.0611900000	17.1012110000
Kamień-skrzy.	51.1668643000	17.2193349700
Joannitów	51.0940895400	17.0338478400
KROMERA	51.1322240600	17.0651489300
Gałów-ferma	51.1182359000	16.8258072000
DWORZECGŁÓWNY	51.0996927600	17.0355198300
Kamieńskiego	51.1395550400	17.0317598400
Bukowina-skrzy.	51.2048768500	17.1532228500
KUŹNIKI(Stacjakolejowa)	51.1262355100	16.9548581600
rondoŚw.OjcaPio	51.0589698600	17.0070559700
Widawa	51.1753073700	17.0227755900
pl.Strzegomski(MuzeumWspółczesne)	51.1132386800	17.0078862500
GAJ	51.0771603500	17.0399816000
pl.Bema	51.1173949200	17.0409097100
Oleśniczka-skrzy.	51.1494058600	17.2826094300
OdrodzeniaPolski	51.1642934000	17.1262011100
RODOświata	51.1019507300	16.9728020700
KOWALE	51.1289588800	17.1016547400
DWORZECNADODRZE	51.1243923100	17.0340215600
Krucza(Mielecka)	51.0932560600	17.0024924700
OSOBOWICE	51.1376517300	16.9936403900
Hartmana	51.1603831800	16.8774650100
Skierniewicka	51.0781529100	17.0149210000
Strachowicka	51.1235147500	16.9190698800
Gospodarska	51.1185260000	17.1235890000
Bielany-MAKRO	51.0466739600	16.9703692700
Opatowickanr85	51.0952330900	17.1224232100
Żmigrodzka(Obwodnica)	51.1549670100	17.0291782400
Długołęka-NowyUrząd	51.1736239300	17.2024367800
Grabiszyńska	51.1024208700	17.0136450500
RakówIV	51.1559148700	17.2749699300
SIECHNICE-TIM	51.0280580000	17.1637440000
KRAKOWSKA(Centrumhandlowe)	51.0895698100	17.0657194900
Kołobrzeska	51.1215371800	16.9469938200
Biestrzyków-skrzyżowanie	51.0360574600	17.0440367800
Pawłowice	51.1655438200	17.1063972500
Wyścigowa	51.0697063400	17.0120504400
Krzemieniecka	51.0963781000	16.9569500200
DomaszczynWrocławskasklep	51.1901070200	17.1707040200
StadionOlimpijski	51.1168254300	17.0900745800
Mikołowska	51.1111693100	17.1367838100
Wojanowska(Stoszowska)	51.1517690000	16.9097160000
Bystrzycka	51.1240088700	16.9590017800
BrzeziaŁąka-Wrocławska	51.1233520500	17.2456382500
Kajdasza	51.0538040000	17.0580200000
Strumykowa	51.1014093100	17.1577110900
Jarnołtowska(Samotworska)	51.1201541300	16.8498842600
Przebiśniegowa	51.1725207300	17.1133433600
KROMERA	51.1319931000	17.0658681500
NaGrobli	51.1014735800	17.0673626300
Broniewskiego	51.1353023000	17.0363349100
Lipska	51.1448119600	16.9867691300
Szczepin	51.1176376900	17.0064837400
Kopańskiego	51.1549566500	17.1193374700
Kamienna	51.0849131600	17.0484029500
Uniwersytet	51.1137545900	17.0322885900
Sosnowiecka	51.0709008200	17.0912699400
KOLBUSZOWSKA(Stadion)	51.0939672200	16.9968875900
Ostowa	51.1621963400	17.0033669300
Partynice	51.0615495600	16.9976446200
Oboźna	51.0582983800	17.0325979100
NaNiskichŁąkach	51.0972808300	17.0554890900
PsiePole(RondoLotnikówPolskich)	51.1478260900	17.1148752300
C.H.Korona	51.1417828200	17.0932825800
Glinianki	51.1381194700	16.9362835200
Smardzów-Reja	51.0279370000	17.0841620000
